id,produto,texto,descricao
219,Filtro FR-88,"Ja e o terceiro que compro, nunca me deixou na mao.",Filtro de reposicao em fibra sintetica para equipamentos da linha VX
220,VX-100,"Atende bem, mas o prazo de entrega foi maior que o informado.",Equipamento agricola compacto motorizado para pequenas propriedades
221,Filtro FR-88,"Instalacao simples, o manual e claro e o suporte respondeu na hora.",Filtro de reposicao em fibra sintetica para equipamentos da linha VX
222,Esteira EX-5,Atendimento rapido e produto de qualidade. Recomendo.,Esteira transportadora industrial em lona reforcada com motor eletrico
223,VX-200,"Robusto, silencioso e economico. Superou a expectativa.",Equipamento agricola motorizado de alta potencia para uso continuo em lavoura
224,Kit Manutencao,"Produto ok pelo preco, embora o manual pudesse ser melhor.","Conjunto de pecas de reposicao, correias, vedacoes e lubrificante"
225,Kit Manutencao,Razoavel. Esperava um pouco mais de potencia pelo valor.,"Conjunto de pecas de reposicao, correias, vedacoes e lubrificante"
226,Kit Manutencao,Quebrou em duas semanas de uso normal. Pessimo.,"Conjunto de pecas de reposicao, correias, vedacoes e lubrificante"
227,Filtro FR-88,Atendimento rapido e produto de qualidade. Recomendo.,Filtro de reposicao em fibra sintetica para equipamentos da linha VX
228,Filtro FR-88,Peca de reposicao caríssima e sempre em falta no estoque.,Filtro de reposicao em fibra sintetica para equipamentos da linha VX
229,Kit Manutencao,"Atende bem, mas o prazo de entrega foi maior que o informado.","Conjunto de pecas de reposicao, correias, vedacoes e lubrificante"
230,Kit Manutencao,Consumo de energia muito acima do que diz a ficha tecnica.,"Conjunto de pecas de reposicao, correias, vedacoes e lubrificante"
231,Filtro FR-88,Entrega pontual e embalagem impecavel. Produto perfeito.,Filtro de reposicao em fibra sintetica para equipamentos da linha VX
232,Filtro FR-88,Atendimento rapido e produto de qualidade. Recomendo.,Filtro de reposicao em fibra sintetica para equipamentos da linha VX
233,VX-200,Peca de reposicao caríssima e sempre em falta no estoque.,Equipamento agricola motorizado de alta potencia para uso continuo em lavoura
234,VX-200,"O suporte e inexistente, esperei nove dias por uma resposta.",Equipamento agricola motorizado de alta potencia para uso continuo em lavoura
235,VX-100,Entrega pontual e embalagem impecavel. Produto perfeito.,Equipamento agricola compacto motorizado para pequenas propriedades
236,Filtro FR-88,Consumo de energia muito acima do que diz a ficha tecnica.,Filtro de reposicao em fibra sintetica para equipamentos da linha VX
237,Esteira EX-5,"Excelente acabamento, muito superior ao que eu usava antes.",Esteira transportadora industrial em lona reforcada com motor eletrico
238,VX-100,"Ja e o terceiro que compro, nunca me deixou na mao.",Equipamento agricola compacto motorizado para pequenas propriedades
239,VX-100,Vale cada centavo. Reduziu o tempo de operacao pela metade.,Equipamento agricola compacto motorizado para pequenas propriedades
240,Filtro FR-88,Chegou antes do prazo e ja esta funcionando sem nenhum problema.,Filtro de reposicao em fibra sintetica para equipamentos da linha VX
241,Esteira EX-5,Vale cada centavo. Reduziu o tempo de operacao pela metade.,Esteira transportadora industrial em lona reforcada com motor eletrico
242,Kit Manutencao,Chegou antes do prazo e ja esta funcionando sem nenhum problema.,"Conjunto de pecas de reposicao, correias, vedacoes e lubrificante"
243,Esteira EX-5,Entrega pontual e embalagem impecavel. Produto perfeito.,Esteira transportadora industrial em lona reforcada com motor eletrico
244,Kit Manutencao,Chegou antes do prazo e ja esta funcionando sem nenhum problema.,"Conjunto de pecas de reposicao, correias, vedacoes e lubrificante"
245,Filtro FR-88,Segunda vez com o mesmo defeito. Perdi a confianca na marca.,Filtro de reposicao em fibra sintetica para equipamentos da linha VX
246,VX-200,"Manual so em ingles, meus operadores nao conseguiram usar.",Equipamento agricola motorizado de alta potencia para uso continuo em lavoura
247,Kit Manutencao,Chegou antes do prazo e ja esta funcionando sem nenhum problema.,"Conjunto de pecas de reposicao, correias, vedacoes e lubrificante"
248,VX-100,"Instalacao simples, o manual e claro e o suporte respondeu na hora.",Equipamento agricola compacto motorizado para pequenas propriedades
249,VX-200,Quebrou em duas semanas de uso normal. Pessimo.,Equipamento agricola motorizado de alta potencia para uso continuo em lavoura
250,Esteira EX-5,"Atendimento despreparado, transferiram minha ligacao quatro vezes.",Esteira transportadora industrial em lona reforcada com motor eletrico
251,Esteira EX-5,"Barulho excessivo desde o primeiro dia, muito abaixo do esperado.",Esteira transportadora industrial em lona reforcada com motor eletrico
252,Esteira EX-5,Entrega pontual e embalagem impecavel. Produto perfeito.,Esteira transportadora industrial em lona reforcada com motor eletrico
253,Filtro FR-88,"Manual so em ingles, meus operadores nao conseguiram usar.",Filtro de reposicao em fibra sintetica para equipamentos da linha VX
254,Filtro FR-88,"Funciona como esperado, nada de excepcional mas cumpre o que promete.",Filtro de reposicao em fibra sintetica para equipamentos da linha VX
255,Esteira EX-5,Quebrou em duas semanas de uso normal. Pessimo.,Esteira transportadora industrial em lona reforcada com motor eletrico
256,VX-100,"Atende bem, mas o prazo de entrega foi maior que o informado.",Equipamento agricola compacto motorizado para pequenas propriedades
257,VX-200,Vale cada centavo. Reduziu o tempo de operacao pela metade.,Equipamento agricola motorizado de alta potencia para uso continuo em lavoura
258,Esteira EX-5,Chegou antes do prazo e ja esta funcionando sem nenhum problema.,Esteira transportadora industrial em lona reforcada com motor eletrico
259,Kit Manutencao,Razoavel. Esperava um pouco mais de potencia pelo valor.,"Conjunto de pecas de reposicao, correias, vedacoes e lubrificante"
260,Filtro FR-88,"Instalacao simples, o manual e claro e o suporte respondeu na hora.",Filtro de reposicao em fibra sintetica para equipamentos da linha VX
261,Filtro FR-88,Segunda vez com o mesmo defeito. Perdi a confianca na marca.,Filtro de reposicao em fibra sintetica para equipamentos da linha VX
262,VX-200,Entrega atrasou quinze dias e o produto veio incompleto.,Equipamento agricola motorizado de alta potencia para uso continuo em lavoura
263,Esteira EX-5,"Barulho excessivo desde o primeiro dia, muito abaixo do esperado.",Esteira transportadora industrial em lona reforcada com motor eletrico
264,Kit Manutencao,Atendimento rapido e produto de qualidade. Recomendo.,"Conjunto de pecas de reposicao, correias, vedacoes e lubrificante"
265,VX-100,"O suporte e inexistente, esperei nove dias por uma resposta.",Equipamento agricola compacto motorizado para pequenas propriedades
266,VX-200,"Instalacao simples, o manual e claro e o suporte respondeu na hora.",Equipamento agricola motorizado de alta potencia para uso continuo em lavoura
267,Esteira EX-5,"Atendimento despreparado, transferiram minha ligacao quatro vezes.",Esteira transportadora industrial em lona reforcada com motor eletrico
268,Filtro FR-88,Entrega pontual e embalagem impecavel. Produto perfeito.,Filtro de reposicao em fibra sintetica para equipamentos da linha VX
269,Filtro FR-88,Entrega atrasou quinze dias e o produto veio incompleto.,Filtro de reposicao em fibra sintetica para equipamentos da linha VX
270,Esteira EX-5,Razoavel. Esperava um pouco mais de potencia pelo valor.,Esteira transportadora industrial em lona reforcada com motor eletrico
271,VX-200,Razoavel. Esperava um pouco mais de potencia pelo valor.,Equipamento agricola motorizado de alta potencia para uso continuo em lavoura
272,Filtro FR-88,"Funciona como esperado, nada de excepcional mas cumpre o que promete.",Filtro de reposicao em fibra sintetica para equipamentos da linha VX
273,VX-200,Chegou antes do prazo e ja esta funcionando sem nenhum problema.,Equipamento agricola motorizado de alta potencia para uso continuo em lavoura
274,Filtro FR-88,"Produto ok pelo preco, embora o manual pudesse ser melhor.",Filtro de reposicao em fibra sintetica para equipamentos da linha VX
275,Kit Manutencao,Razoavel. Esperava um pouco mais de potencia pelo valor.,"Conjunto de pecas de reposicao, correias, vedacoes e lubrificante"
276,Filtro FR-88,"Robusto, silencioso e economico. Superou a expectativa.",Filtro de reposicao em fibra sintetica para equipamentos da linha VX
277,Kit Manutencao,Segunda vez com o mesmo defeito. Perdi a confianca na marca.,"Conjunto de pecas de reposicao, correias, vedacoes e lubrificante"
278,Filtro FR-88,"Ja e o terceiro que compro, nunca me deixou na mao.",Filtro de reposicao em fibra sintetica para equipamentos da linha VX
279,VX-200,Peca de reposicao caríssima e sempre em falta no estoque.,Equipamento agricola motorizado de alta potencia para uso continuo em lavoura
280,Kit Manutencao,Entrega atrasou quinze dias e o produto veio incompleto.,"Conjunto de pecas de reposicao, correias, vedacoes e lubrificante"
281,Kit Manutencao,Consumo de energia muito acima do que diz a ficha tecnica.,"Conjunto de pecas de reposicao, correias, vedacoes e lubrificante"
282,VX-200,"Atende bem, mas o prazo de entrega foi maior que o informado.",Equipamento agricola motorizado de alta potencia para uso continuo em lavoura
283,Filtro FR-88,"Robusto, silencioso e economico. Superou a expectativa.",Filtro de reposicao em fibra sintetica para equipamentos da linha VX
284,Esteira EX-5,Chegou com a carcaca amassada e ninguem respondeu meu chamado.,Esteira transportadora industrial em lona reforcada com motor eletrico
285,Esteira EX-5,"Funciona como esperado, nada de excepcional mas cumpre o que promete.",Esteira transportadora industrial em lona reforcada com motor eletrico
286,VX-100,Razoavel. Esperava um pouco mais de potencia pelo valor.,Equipamento agricola compacto motorizado para pequenas propriedades
287,Kit Manutencao,"Barulho excessivo desde o primeiro dia, muito abaixo do esperado.","Conjunto de pecas de reposicao, correias, vedacoes e lubrificante"
288,Filtro FR-88,"Atende bem, mas o prazo de entrega foi maior que o informado.",Filtro de reposicao em fibra sintetica para equipamentos da linha VX
289,Kit Manutencao,Segunda vez com o mesmo defeito. Perdi a confianca na marca.,"Conjunto de pecas de reposicao, correias, vedacoes e lubrificante"
290,VX-200,Atendimento rapido e produto de qualidade. Recomendo.,Equipamento agricola motorizado de alta potencia para uso continuo em lavoura
291,VX-100,Chegou antes do prazo e ja esta funcionando sem nenhum problema.,Equipamento agricola compacto motorizado para pequenas propriedades
292,Esteira EX-5,Atendimento rapido e produto de qualidade. Recomendo.,Esteira transportadora industrial em lona reforcada com motor eletrico
293,VX-200,"Funciona como esperado, nada de excepcional mas cumpre o que promete.",Equipamento agricola motorizado de alta potencia para uso continuo em lavoura
294,VX-100,"Atende bem, mas o prazo de entrega foi maior que o informado.",Equipamento agricola compacto motorizado para pequenas propriedades
295,Esteira EX-5,"Manual so em ingles, meus operadores nao conseguiram usar.",Esteira transportadora industrial em lona reforcada com motor eletrico
296,Kit Manutencao,"Barulho excessivo desde o primeiro dia, muito abaixo do esperado.","Conjunto de pecas de reposicao, correias, vedacoes e lubrificante"
297,Kit Manutencao,Razoavel. Esperava um pouco mais de potencia pelo valor.,"Conjunto de pecas de reposicao, correias, vedacoes e lubrificante"
298,VX-100,Consumo de energia muito acima do que diz a ficha tecnica.,Equipamento agricola compacto motorizado para pequenas propriedades
299,VX-100,Entrega atrasou quinze dias e o produto veio incompleto.,Equipamento agricola compacto motorizado para pequenas propriedades
300,Kit Manutencao,"Instalacao simples, o manual e claro e o suporte respondeu na hora.","Conjunto de pecas de reposicao, correias, vedacoes e lubrificante"
